key,name,lat,lon,huc,state,year,on_site_release_lb,zone_class,mask_2008_point,p_max,p_mean,p_max_note,p_max_dr,p_max_dc,p_max_zone_class,p_max_hand,p_max_dist_flowline,p_max_dist_waterbody,n_buffer_cells,d1_eligible,d2,d1_t_0p50,d1_t_0p75,d1_t_0p90
110043659644,O'NEAL MANUFACTURING SERVICES,39.855748,-85.991707,05120201,IN,2023,7.609999999999999,unshaded_x,1,0.2417030781507492,0.07661730796098709,neighboring_land_cell,-2,1,unshaded_x,0.0,30.0,270.0,81,True,False,False,False,False
110037389224,POET BIOREFINING ALEXANDRIA LLC,40.295033,-85.652861,05120201,IN,2023,5113.0,unshaded_x,1,0.4771241843700409,0.138451486825943,neighboring_land_cell,-3,1,unshaded_x,0.0,30.0,361.2478332519531,81,True,False,False,False,False
110000396116,BEST-EVER DAIRY PRODUCTS,40.120921,-85.678339,05120201,IN,2023,5.0,unshaded_x,1,0.39887481927871704,0.09711965173482895,adjacent_hydro_cell,3,4,sfha,0.0,0.0,174.92855834960938,81,True,False,False,False,False
110000396125,SIRMAX N.A. INC,40.087987,-85.699109,05120201,IN,2023,0.0,unshaded_x,1,0.11004320532083511,0.013762123882770538,neighboring_land_cell,3,4,unshaded_x,3.3115234375,342.0526123046875,516.1395263671875,81,True,False,False,False,False
110070557749,MORIROKU TECHNOLOGY N.A. - A,40.040393,-85.730348,05120201,IN,2023,705.0,unshaded_x,1,0.6954950094223022,0.15012557804584503,neighboring_land_cell,3,-1,unshaded_x,0.0,84.85281372070312,120.0,81,True,False,True,False,False
110033155920,NESTLE USA INC-ANDERSON,40.040469,-85.74271,05120201,IN,2023,874.0,unshaded_x,1,0.3289982080459595,0.09164056926965714,neighboring_land_cell,-2,2,unshaded_x,0.0,108.16654205322266,30.0,81,True,False,False,False,False
110011831054,CHEMSTATION OF INDIANA,39.965717,-86.149081,05120201,IN,2023,0.0,unshaded_x,1,0.3334971070289612,0.09106291830539703,adjacent_hydro_cell,-4,4,unshaded_x,0.0,192.09373474121094,0.0,81,True,False,False,False,False
110000396161,ELSA LLC,40.266163,-85.816919,05120201,IN,2023,29086.739999999998,unshaded_x,1,0.12873952090740204,0.048787541687488556,neighboring_land_cell,-3,3,unshaded_x,0.60693359375,323.1098937988281,349.85711669921875,81,True,False,False,False,False
110046383196,THURSDAY POOLS,39.934278,-85.837297,05120201,IN,2023,257590.0,unshaded_x,1,0.7688588500022888,0.15194113552570343,neighboring_land_cell,1,-4,unshaded_x,0.0,318.9043884277344,534.1348266601562,81,True,False,True,True,False
110000846167,OWENS BROCKWAY GLASS CONTAINER INC PLANT #08,40.064476,-85.85352,05120201,IN,2023,275.65,unshaded_x,1,0.024334115907549858,0.005328038241714239,neighboring_land_cell,4,4,unshaded_x,3.189666748046875,150.0,408.04412841796875,81,True,False,False,False,False
110024447133,KING SYSTEMS CORP,40.006082,-86.005744,05120201,IN,2023,38937.99,unshaded_x,1,0.3015707731246948,0.06319630891084671,adjacent_hydro_cell,-1,1,unshaded_x,0.0,0.0,216.3330841064453,81,True,False,False,False,False
110070112580,ID CASTINGS LLC,40.031386,-86.014347,05120201,IN,2023,0.1,unshaded_x,1,0.423933207988739,0.03342273458838463,neighboring_land_cell,-2,4,unshaded_x,0.0,150.0,351.1409912109375,81,True,False,False,False,False
110000396330,INDUSTRIAL DIELECTRICS INC.,40.042518,-86.01527,05120201,IN,2023,17340.0,unshaded_x,1,0.04529524967074394,0.013715021312236786,neighboring_land_cell,-3,1,unshaded_x,3.7931060791015625,417.8516540527344,630.7138671875,81,True,False,False,False,False
110000396358,EMC PRECISION II,40.132482,-86.22051,05120201,IN,2023,1.6,unshaded_x,1,0.11458656936883926,0.05448894202709198,neighboring_land_cell,-3,-4,unshaded_x,0.9813232421875,424.2640686035156,603.7383422851562,81,True,False,False,False,False
110059697289,HELMER SCIENTIFIC TRANE TECHNOLOGIES,39.998517,-85.926669,05120201,IN,2023,20.0,unshaded_x,1,0.3349478244781494,0.0755259245634079,adjacent_hydro_cell,3,2,unshaded_x,0.0,182.48287963867188,0.0,81,True,False,False,False,False
110041244819,SMC CORP OF AMERICA,40.005571,-85.989373,05120201,IN,2023,0.0,unshaded_x,1,0.2348296046257019,0.09334247559309006,adjacent_hydro_cell,-2,4,unshaded_x,0.0,0.0,60.0,81,True,False,False,False,False
110060259991,VALVOLINE GLOBAL PRODUCTS,40.01025,-86.005465,05120201,IN,2023,0.0,unshaded_x,1,0.3762376308441162,0.07799144089221954,neighboring_land_cell,-2,4,unshaded_x,0.0,67.08203887939453,276.5863342285156,81,True,False,False,False,False
110000396385,COUNTRYMARK REFINING & LOGISTICS LLC,40.042637,-86.222244,05120201,IN,2023,1632.0,unshaded_x,1,0.2864467203617096,0.0929017886519432,neighboring_land_cell,0,-2,unshaded_x,0.387176513671875,127.27922058105469,218.40328979492188,81,True,False,False,False,False
110070265855,INDIANA MILLS & MANUFACTURING INC.,40.059128,-86.128643,05120201,IN,2023,279.0,unshaded_x,1,0.6929112672805786,0.17793485522270203,neighboring_land_cell,-4,-2,unshaded_x,0.0,60.0,174.92855834960938,81,True,False,True,False,False
110071428633,RINKER WHITESTOWN PIPE,39.976546,-86.394929,05120201,IN,2023,0.0394,unshaded_x,1,0.2321273386478424,0.0745956152677536,neighboring_land_cell,1,3,unshaded_x,0.33740234375,258.06976318359375,120.0,81,True,False,False,False,False
110067114349,WEAS ENGINEERING,40.038238,-86.145955,05120201,IN,2023,0.0,unshaded_x,1,0.2539536952972412,0.028041576966643333,neighboring_land_cell,-3,-4,unshaded_x,0.5927734375,108.16654205322266,174.92855834960938,81,True,False,False,False,False
110000396394,ADM MILLING CO,39.730539,-86.092616,05120201,IN,2023,0.0,unshaded_x,1,0.22941571474075317,0.029092764481902122,neighboring_land_cell,-4,-3,unshaded_x,0.311065673828125,67.08203887939453,201.24612426757812,81,True,False,False,False,False
110000396401,JCI JONES CHEMICALS INC.,39.727962,-86.088634,05120201,IN,2023,1.0,unshaded_x,1,0.166837677359581,0.027331363409757614,adjacent_hydro_cell,-3,2,unshaded_x,0.0,216.3330841064453,0.0,81,True,False,False,False,False
110000549817,FGF LLC,39.861611,-86.397018,05120201,IN,2023,27335.0,unshaded_x,1,0.7795918583869934,0.059961166232824326,adjacent_hydro_cell,-4,-4,floodway,0.0,94.86833190917969,192.09373474121094,81,True,False,True,True,False
110070200778,WATER SOLUTIONS UNLIMITED,39.63468,-86.338483,05120201,IN,2023,5.0,unshaded_x,1,0.37362638115882874,0.1227324903011322,adjacent_hydro_cell,-1,2,unshaded_x,0.0,0.0,180.0,81,True,False,False,False,False
110071428631,RINKER GREENFIELD PIPE,39.834384,-85.928091,05120201,IN,2023,0.101,unshaded_x,1,0.07191890478134155,0.02882314845919609,neighboring_land_cell,4,0,unshaded_x,1.582489013671875,342.0526123046875,366.1966552734375,81,True,False,False,False,False
110071721726,SCHLAGE LOCK CO LLC,39.834295,-85.938636,05120201,IN,2023,0.0,unshaded_x,1,0.32354217767715454,0.14165917038917542,neighboring_land_cell,-4,1,unshaded_x,0.131072998046875,30.0,371.0794982910156,81,True,False,False,False,False
110000607816,USB INDIANA LLC,39.573049,-86.369106,05120201,IN,2023,2496.6400000000003,unshaded_x,1,0.19714272022247314,0.04982932284474373,neighboring_land_cell,-4,1,unshaded_x,0.44830322265625,152.9705810546875,234.3074951171875,81,True,False,False,False,False
110032987310,SUN POLYMERS INTERNATIONAL INC,39.570385,-86.367574,05120201,IN,2023,490.0,unshaded_x,1,0.5472922325134277,0.16397090256214142,neighboring_land_cell,-3,1,unshaded_x,0.0,60.0,201.24612426757812,81,True,False,True,False,False
