key,name,lat,lon,huc,state,year,on_site_release_lb,zone_class,mask_2008_point,p_max,p_mean,n_buffer_cells,d1_eligible,d2,d1_t_0p50,d1_t_0p75,d1_t_0p90
110003128259,ACCURATE MANUFACTURED PRODUCTS GROUP,39.900381,-86.267014,05120201,IN,2023,0.0,unshaded_x,1,0.06540586799383163,0.021585972979664803,81,True,False,False,False,False
110017392819,LILLY TECHNOLOGY CENTER,39.744526,-86.187136,05120201,IN,2023,10632.0,unshaded_x,1,0.023997297510504723,0.004021201748400927,81,True,False,False,False,False
110000397712,GARFIELD FACILITY LLC,40.158023,-85.420939,05120201,IN,2023,130.985,unshaded_x,1,0.5519614815711975,0.19217762351036072,81,True,False,True,False,False
110000399916,NCH CORP MOHAWK LABS DIV,39.816478,-86.020477,05120201,IN,2023,6.65,unshaded_x,1,0.027683423832058907,0.011270498856902122,81,True,False,False,False,False
110000493859,BECKETT BRONZE CO INC,40.17039,-85.386046,05120201,IN,2023,0.0,shaded_x,1,0.18061071634292603,0.0795590877532959,81,False,False,False,False,False
110003074235,DELAWARE DYNAMICS LLC,40.188309,-85.385468,05120201,IN,2023,2.0,unshaded_x,1,0.013128772377967834,0.002679127035662532,81,True,False,False,False,False
110000402500,MAXON CORP,40.172315,-85.384547,05120201,IN,2023,42.87,sfha,1,0.25813889503479004,0.11157166212797165,81,False,False,False,False,False
110000402519,AZZ GALVANIZING SERVICES-MUNCIE,40.17231,-85.386313,05120201,IN,2023,1546.4869999999999,shaded_x,1,0.25813889503479004,0.10804874449968338,81,False,False,False,False,False
110000402528,ARROWHEAD PLASTIC ENGINEERING INC,40.167912,-85.411539,05120201,IN,2023,23560.0,shaded_x,1,0.7250000238418579,0.19574317336082458,81,False,False,False,False,False
110000402591,PROGRESS RAIL MANUFACTURING CORP.,40.162337,-85.404869,05120201,IN,2023,0.0,shaded_x,1,0.2948754131793976,0.09725012630224228,81,False,False,False,False,False
110000402537,MPLX TERMINALS LLC - MUNCIE IN TERMINAL,40.277161,-85.362269,05120201,IN,2023,1398.0,unshaded_x,1,0.3868010938167572,0.07641188055276871,81,True,False,False,False,False
110000402555,GKN AEROSPACE MUNCIE INC.,40.157197,-85.421308,05120201,IN,2023,75.74000000000001,unshaded_x,1,0.5519614815711975,0.1575203835964203,81,True,False,True,False,False
110000863183,MUNCIE CASTING CORP,40.17243,-85.371467,05120201,IN,2023,0.0,unshaded_x,1,0.49657198786735535,0.0598766952753067,81,True,False,False,False,False
110012098425,BECKETT BRONZE CO INC,40.167381,-85.389708,05120201,IN,2023,0.0,shaded_x,1,0.4171236455440521,0.09056763350963593,81,False,False,False,False,False
110071722144,CANPACK US LLC,40.149366,-85.412058,05120201,IN,2023,1560.3,unshaded_x,1,0.6453113555908203,0.2983247935771942,81,True,False,True,False,False
110043543813,MAGNA POWERTRAIN EAST,40.149397,-85.400859,05120201,IN,2023,0.0,unshaded_x,1,0.789226770401001,0.09751777350902557,81,True,False,True,True,False
110069275064,MPT MUNCIE COWAN ROAD,40.151135,-85.404984,05120201,IN,2023,0.0,unshaded_x,1,0.3244388699531555,0.10519318282604218,81,True,False,False,False,False
110069620039,SPARTECH LLC,40.178283,-85.37067,05120201,IN,2023,0.0,unshaded_x,1,0.03765532001852989,0.01573980413377285,81,True,False,False,False,False
110000792508,ARDAGH GLASS INC,40.172471,-84.988747,05120201,IN,2023,27312.12,unshaded_x,1,0.11473095417022705,0.02174673043191433,81,True,False,False,False,False
110020518590,TOA WINCHESTER LLC,40.174451,-84.993591,05120201,IN,2023,45.0,unshaded_x,1,0.051565710455179214,0.03198206424713135,81,True,False,False,False,False
110046371582,MURSIX CORP,40.213141,-85.554684,05120201,IN,2023,0.0,unshaded_x,1,0.3032388985157013,0.094196617603302,81,True,False,False,False,False
110008337941,SILVERTOWNE,40.164807,-84.963921,05120201,IN,2023,0.0,unshaded_x,1,0.14578422904014587,0.029268108308315277,81,True,False,False,False,False
